failure_id,classification,trigger,immediate_effect,ongoing_penalty,recovery_actions,source_ref
FAIL_ORBIT_NO_CAPTURE,Hard,Parking orbit apogee < 90 nm or perigee < 80 nm,CSM state vector unsafe for TLI,Abort sequence initiates,Flight Plan p. 2-18
FAIL_TLI_PAD_LATE,Recoverable,TLI checklist incomplete at GET 002:44:00,TLI burn starts without updated PAD,Δv margin reduced by 10 m/s,Execute MCC-1 earlier; uplink revised PAD,Flight Journal Day 1 002:44 GET
FAIL_TLI_UNDERBURN,Recoverable,Δv shortfall > 10 m/s at TLI shutdown,S-IVB sep with insufficient velocity,MCC-1 Δv requirement +25 m/s,Plan corrective burn at next communications window,Mission Operations Report Sec. 3.2
FAIL_DOCK_INCOMPLETE,Recoverable,LM hard dock not confirmed by GET 003:45:00,LM remains partially latched,RCS prop usage +10 lb/hr while redocking,Recycle docking sequence; verify capture latches,Flight Journal Day 1 003:30 GET
FAIL_THERMAL_PTC_LATE,Recoverable,PTC not established by GET 005:00:00,Cryo boiloff trending +0.5 lb/hr per tank,Power margin -5%,Engage PTC and shed non-critical loads,Flight Journal Day 1 004:45 GET
FAIL_THERMAL_PTC_DRIFT,Recoverable,PTC roll rate deviates for >30 min,Cryo tank boiloff +0.3 lb/hr,Power margin -3%,Re-trim PTC and shed loads,Flight Plan p. 5-5
FAIL_MCC1_PAD_MISSED,Recoverable,MCC-1 PAD not verified before burn window,Burn executed with stale targets,Δv margin -15 m/s,Request updated PAD at next comm window,Flight Journal Day 2 009:50 GET
FAIL_MCC1_SKIPPED,Recoverable,MCC-1 burn not executed by GET 010:10,Trajectory dispersions accumulate,MCC-2 Δv requirement +25 m/s,Plan MCC-2 with larger budget,Mission Operations Report Sec. 3.3
FAIL_NAV_STATE_DRIFT,Recoverable,State vector not updated after MCC-1,Navigation residuals exceed limits,Additional tracking passes required,Perform P23 and uplink vector,Flight Journal Day 2 010:30 GET
FAIL_CONSUMABLES_LOG_MISSED,Recoverable,Consumables check not logged by GET 013:00,Consumables trending unmonitored,Cabin CO2 tracking uncertain,Repeat log and verify LiOH status,Flight Plan p. 5-3
FAIL_P52_SKIPPED,Recoverable,P52 realignment not completed by GET 016:45:00,IMU alignment drift increases,Platform alignment error grows 0.2°/hr,Execute P52 realignment and request ground vector,Flight Plan p. 5-6
FAIL_P23_SKIPPED,Recoverable,Program 23 optics update not completed by GET 018:30:00,Navigation residuals remain elevated,State vector uncertainty increases 1 nm/hr,Perform P23 sightings and uplink corrections,Flight Plan p. 5-8
FAIL_MCC2_PAD_MISSED,Recoverable,MCC-2 PAD not verified before evaluation window,Burn decision lacks current targets,Next correction planning delayed,Request PAD reread and delay evaluation,Mission Operations Report Sec. 3.3
FAIL_MCC2_EVAL_SKIPPED,Recoverable,MCC-2 go/no-go not recorded by GET 025:30:00,Trajectory decision ambiguous to MCC,MCC holds communications windows,Conduct evaluation and log decision,Flight Journal Day 3 024:55 GET
FAIL_MCC2_SKIPPED,Recoverable,MCC-2 required but not executed or Δv shortfall >1 ft/s,Trajectory dispersions persist,Next correction Δv requirement +5 m/s,Plan MCC-3 with additional budget,Mission Operations Report Sec. 3.3
